
Connected to: Oracle Database 11g Express Edition Release 11.2.0.2.0 - Production

Export file created by EXPORT:V11.02.00 via conventional path
import done in AL32UTF8 character set and AL16UTF16 NCHAR character set
. . importing table                  "ACTAPARCIAL"         15 rows imported
. . importing table                    "ADICIONES"        761 rows imported
. . importing table                      "ALERTAS"          2 rows imported
. . importing table                "ANX_CONTRATOS"         78 rows imported
. . importing table                 "AN_PCONTRATO"          0 rows imported
. . importing table                 "ASEGURADORAS"         20 rows imported
. . importing table                    "AUDITORIA"      46670 rows imported
. . importing table               "AUDI_CONTRATOS"       5762 rows imported
. . importing table                   "AUDTRIGGER"         21 rows imported
. . importing table                   "CALCULOPOL"          7 rows imported
. . importing table                  "CAL_VIG_POL"         11 rows imported
. . importing table                "CDP_ADICIONES"          0 rows imported
. . importing table                "CDP_CONTRATOS"       6261 rows imported
. . importing table                "CDP_GPROCESOS"         82 rows imported
. . importing table               "CDP_PCONTRATOS"          0 rows imported
. . importing table               "CERT_CONTRATOS"         22 rows imported
. . importing table                     "CESIONES"         12 rows imported
. . importing table                  "CFORMA_PAGO"        105 rows imported
. . importing table                     "CMINUTAS"          0 rows imported
. . importing table                "COBLIGACIONES"        148 rows imported
. . importing table                       "CONMUN"       1329 rows imported
. . importing table                         "CONS"          0 rows imported
. . importing table                 "CONSORCIOSUT"          3 rows imported
. . importing table               "CONSORCIOSUTXC"         16 rows imported
. . importing table                    "CONS_PROC"         28 rows imported
. . importing table                    "CONTRATOS"       7377 rows imported
. . importing table                  "CON_POLIZAS"        170 rows imported
. . importing table                     "CORREOSE"          3 rows imported
. . importing table                   "CPROYECTOS"         28 rows imported
. . importing table                 "CTRL_ENTIDAD"          1 rows imported
. . importing table                  "CUBRIMIENTO"          2 rows imported
. . importing table                 "C_FORMA_PAGO"          5 rows imported
. . importing table                   "C_POLIZAS2"          1 rows imported
. . importing table                 "C_RUBROS_CDP"          0 rows imported
. . importing table                  "DEPENDENCIA"         29 rows imported
. . importing table                "DOCPCONTRATOS"          9 rows imported
. . importing table                    "DOCU_PROC"          0 rows imported
. . importing table                "DOC_PLANTILLA"          0 rows imported
. . importing table                "DOC_SECCIONES"          0 rows imported
